,id,title,author,author_birth_year,period,type,genre,date,file,source,annotation,tokens_cleaned
302,303,Der fliegende Holländer,Wagner,1747,Aufklaerung,,drama,1843,wagner-der-fliegende-hollaender.xml,https://github.com/dracor-org/gerdracor,,8269
303,304,Das Urbild des Tartüffe,Gutzkow,1811,Kunstepoche,Comedy,drama,1844,gutzkow-das-urbild-des-tartueffe.xml,https://github.com/dracor-org/gerdracor,,27695
304,305,Zopf und Schwert,Gutzkow,1811,Kunstepoche,Comedy,drama,1844,gutzkow-zopf-und-schwert.xml,https://github.com/dracor-org/gerdracor,,26365
305,306,Maria Magdalene,Hebbel,1813,Kunstepoche,Tragedy,drama,1844,hebbel-maria-magdalene.xml,https://github.com/dracor-org/gerdracor,,27336
306,307,Stadt und Land oder Der Viehhändler aus Oberösterreich,Kaiser,1814,Kunstepoche,Comedy,drama,1844,kaiser-stadt-und-land.xml,https://github.com/dracor-org/gerdracor,,19127
307,308,Struensee,Laube,1806,Kunstepoche,Tragedy,drama,1844,laube-struensee.xml,https://github.com/dracor-org/gerdracor,,35223
308,309,Der Zerrissene,Nestroy,1801,Kunstepoche,Comedy,drama,1844,nestroy-der-zerrissene.xml,https://github.com/dracor-org/gerdracor,,19713
309,310,Gottsched und Gellert,Laube,1806,Kunstepoche,Comedy,drama,1845,laube-gottsched-und-gellert.xml,https://github.com/dracor-org/gerdracor,,46960
310,311,Die politische Wochenstube,Prutz,1816,Kunstepoche,Comedy,drama,1845,prutz-die-politische-wochenstube.xml,https://github.com/dracor-org/gerdracor,,20458
311,312,Tannhäuser und Der Sängerkrieg auf Wartburg,Wagner,1747,Aufklaerung,,drama,1845,wagner-tannhaeuser.xml,https://github.com/dracor-org/gerdracor,,8727
312,313,Großjährig,Bauernfeld,1802,Kunstepoche,Comedy,drama,1846,bauernfeld-grossjaehrig.xml,https://github.com/dracor-org/gerdracor,,15829
313,314,Uriel Acosta,Gutzkow,1811,Kunstepoche,Tragedy,drama,1846,gutzkow-uriel-acosta.xml,https://github.com/dracor-org/gerdracor,,19614
314,315,Die Karlsschüler,Laube,1806,Kunstepoche,,drama,1846,laube-die-karlsschueler.xml,https://github.com/dracor-org/gerdracor,,48364
315,316,Der Waffenschmied,Lortzing,1801,Kunstepoche,,drama,1846,lortzing-der-waffenschmied.xml,https://github.com/dracor-org/gerdracor,,15660
316,317,Der Unbedeutende,Nestroy,1801,Kunstepoche,Comedy,drama,1846,nestroy-der-unbedeutende.xml,https://github.com/dracor-org/gerdracor,,22277
317,318,Doctor Johannes Faust,Simrock,1802,Kunstepoche,,drama,1846,simrock-doctor-johannes-faust.xml,https://github.com/dracor-org/gerdracor,,12929
318,319,Der Diamant,Hebbel,1813,Kunstepoche,Comedy,drama,1847,hebbel-der-diamant.xml,https://github.com/dracor-org/gerdracor,,26507
319,320,Ein Trauerspiel in Sizilien,Hebbel,1813,Kunstepoche,Tragicomedy,drama,1847,hebbel-trauerspiel-in-sizilien.xml,https://github.com/dracor-org/gerdracor,,8548
320,321,Die Schule des Armen oder Zwei Millionen,Kaiser,1814,Kunstepoche,,drama,1847,kaiser-die-schule-des-armen.xml,https://github.com/dracor-org/gerdracor,,24793
321,322,Der Roaga [Reiher],Kobell,1803,Kunstepoche,,drama,1847,kobell-der-roaga.xml,https://github.com/dracor-org/gerdracor,,4154
322,323,Martha oder Der Markt zu Richmond,Riese,1805,Kunstepoche,,drama,1847,riese-martha.xml,https://github.com/dracor-org/gerdracor,,10740
